state_name,report_date,Medicaid_Enrollment
Pennsylvania,11/01/2019,2987581
Rhode Island,11/01/2019,291798
South Carolina,11/01/2019,1050850
South Dakota,11/01/2019,109187
Tennessee,11/01/2019,1447646
Texas,11/01/2019,4195900
Utah,11/01/2019,309484
Vermont,11/01/2019,150952
Virginia,11/01/2019,1389673
Washington,11/01/2019,1722072
West Virginia,11/01/2019,513394
Wisconsin,11/01/2019,1045874
Wyoming,11/01/2019,55785
United States,12/01/2019,71079550
Alabama,12/01/2019,921100
Alaska,12/01/2019,223065
Arizona,12/01/2019,1708073
Arkansas,12/01/2019,811360
California,12/01/2019,11588323
Colorado,12/01/2019,1275430
Connecticut,12/01/2019,850657
Delaware,12/01/2019,231285
District of Columbia,12/01/2019,253546
Florida,12/01/2019,3613005
Georgia,12/01/2019,1816358
Hawaii,12/01/2019,326337
Idaho,12/01/2019,267602
Illinois,12/01/2019,2812371
Indiana,12/01/2019,1322156
Iowa,12/01/2019,679651
Kansas,12/01/2019,376289
Kentucky,12/01/2019,1288288
Louisiana,12/01/2019,1475008
Maine,12/01/2019,264424
Maryland,12/01/2019,1328704
Massachusetts,12/01/2019,1585919
Michigan,12/01/2019,2320304
Minnesota,12/01/2019,1044160
Mississippi,12/01/2019,616093
Missouri,12/01/2019,847982
Montana,12/01/2019,260710
Nebraska,12/01/2019,247737
Nevada,12/01/2019,626078
New Hampshire,12/01/2019,181753
New Jersey,12/01/2019,1706298
New Mexico,12/01/2019,743312
New York,12/01/2019,5997950
North Carolina,12/01/2019,1772156
North Dakota,12/01/2019,89370
Ohio,12/01/2019,2609614
Oklahoma,12/01/2019,713247
Oregon,12/01/2019,996363
Pennsylvania,12/01/2019,2986439
Rhode Island,12/01/2019,292050
South Carolina,12/01/2019,1044183
South Dakota,12/01/2019,108795
Tennessee,12/01/2019,1456532
Texas,12/01/2019,4180368
Utah,12/01/2019,309812
Vermont,12/01/2019,151190
Virginia,12/01/2019,1414239
Washington,12/01/2019,1728648
West Virginia,12/01/2019,512933
Wisconsin,12/01/2019,1046309
Wyoming,12/01/2019,55974
United States,01/01/2020,71236779
Alabama,01/01/2020,922592
Alaska,01/01/2020,223963
Arizona,01/01/2020,1702632
Arkansas,01/01/2020,808905
California,01/01/2020,11614902
Colorado,01/01/2020,1272902
Connecticut,01/01/2020,847119
Delaware,01/01/2020,231455
District of Columbia,01/01/2020,253265
Florida,01/01/2020,3601113
Georgia,01/01/2020,1830095
Hawaii,01/01/2020,325833
Idaho,01/01/2020,313122
Illinois,01/01/2020,2830864
Indiana,01/01/2020,1327602
Iowa,01/01/2020,680117
Kansas,01/01/2020,377740
Kentucky,01/01/2020,1289517
Louisiana,01/01/2020,1500782
Maine,01/01/2020,264849
Maryland,01/01/2020,1329134
Massachusetts,01/01/2020,1570832
Michigan,01/01/2020,2327041
Minnesota,01/01/2020,1040843
Mississippi,01/01/2020,616266
Missouri,01/01/2020,848304
Montana,01/01/2020,258898
Nebraska,01/01/2020,247737
Nevada,01/01/2020,626116
New Hampshire,01/01/2020,181909
New Jersey,01/01/2020,1705106
New Mexico,01/01/2020,745341
New York,01/01/2020,6004128
North Carolina,01/01/2020,1767109
North Dakota,01/01/2020,89890
Ohio,01/01/2020,2612947
Oklahoma,01/01/2020,721273
Oregon,01/01/2020,1000654
Pennsylvania,01/01/2020,2995303
Rhode Island,01/01/2020,293293
South Carolina,01/01/2020,1039640
South Dakota,01/01/2020,109264
Tennessee,01/01/2020,1459394
Texas,01/01/2020,4194734
Utah,01/01/2020,312988
Vermont,01/01/2020,150895
Virginia,01/01/2020,1422802
Washington,01/01/2020,1727441
West Virginia,01/01/2020,513405
Wisconsin,01/01/2020,1048524
Wyoming,01/01/2020,56199
United States,02/01/2020,71157729
Alabama,02/01/2020,923320
Alaska,02/01/2020,222941
Arizona,02/01/2020,1705789
Arkansas,02/01/2020,802939
California,02/01/2020,11590601
Colorado,02/01/2020,1266680
Connecticut,02/01/2020,844967
Delaware,02/01/2020,231742
District of Columbia,02/01/2020,241674
Florida,02/01/2020,3600457
Georgia,02/01/2020,1833759
Hawaii,02/01/2020,325667
Idaho,02/01/2020,319534
Illinois,02/01/2020,2829625
Indiana,02/01/2020,1337074
Iowa,02/01/2020,677141
Kansas,02/01/2020,378292
Kentucky,02/01/2020,1288129
Louisiana,02/01/2020,1495354
Maine,02/01/2020,267482
Maryland,02/01/2020,1330660
Massachusetts,02/01/2020,1571761
Michigan,02/01/2020,2330401
Minnesota,02/01/2020,1044409
Mississippi,02/01/2020,615262
Missouri,02/01/2020,855282
Montana,02/01/2020,252740
Nebraska,02/01/2020,248633
Nevada,02/01/2020,625358
New Hampshire,02/01/2020,181726
New Jersey,02/01/2020,1701569
New Mexico,02/01/2020,744994
New York,02/01/2020,5987770
North Carolina,02/01/2020,1770394
North Dakota,02/01/2020,89991
Ohio,02/01/2020,2596917
Oklahoma,02/01/2020,716566
Oregon,02/01/2020,1002190
Pennsylvania,02/01/2020,2989204
Rhode Island,02/01/2020,289944
South Carolina,02/01/2020,1036982
South Dakota,02/01/2020,109585
Tennessee,02/01/2020,1447919
Texas,02/01/2020,4198897
Utah,02/01/2020,313899
Vermont,02/01/2020,151167
Virginia,02/01/2020,1426912
Washington,02/01/2020,1723451
West Virginia,02/01/2020,512916
Wisconsin,02/01/2020,1050981
Wyoming,02/01/2020,56082
United States,03/01/2020,71506870
Alabama,03/01/2020,922989
Alaska,03/01/2020,224965
Arizona,03/01/2020,1746744
Arkansas,03/01/2020,799896
California,03/01/2020,11576877
Colorado,03/01/2020,1259742
Connecticut,03/01/2020,845434
Delaware,03/01/2020,231862
District of Columbia,03/01/2020,243503
Florida,03/01/2020,3605857
Georgia,03/01/2020,1853679
Hawaii,03/01/2020,327849
Idaho,03/01/2020,325353
Illinois,03/01/2020,2855246
Indiana,03/01/2020,1364327
Iowa,03/01/2020,678312
Kansas,03/01/2020,380750
Kentucky,03/01/2020,1295710
Louisiana,03/01/2020,1505639
Maine,03/01/2020,274352
Maryland,03/01/2020,1335833
Massachusetts,03/01/2020,1584590
Michigan,03/01/2020,2356557
Minnesota,03/01/2020,1047688
Mississippi,03/01/2020,612765
Missouri,03/01/2020,876601
Montana,03/01/2020,250033
Nebraska,03/01/2020,248460
Nevada,03/01/2020,627200
New Hampshire,03/01/2020,183172
New Jersey,03/01/2020,1702272
New Mexico,03/01/2020,745953
New York,03/01/2020,6006163
North Carolina,03/01/2020,1807494
North Dakota,03/01/2020,91884
Ohio,03/01/2020,2611799
Oklahoma,03/01/2020,734583
Oregon,03/01/2020,1009118
Pennsylvania,03/01/2020,3011408
Rhode Island,03/01/2020,292639
South Carolina,03/01/2020,1032851
South Dakota,03/01/2020,109178
Tennessee,03/01/2020,1442600
